1 input_test.asc  Three-stage rocket ascent ' SLV1 ' Oct 14 2018 11:06:30
  0  0 90
time            vmach           pdynmc          psibdx          thtbdx          
phibdx          alppx           phipx           alphax          betax           
ppx             qqx             rrx             lonx            latx            
alt             dvbe            dvbi            psivdx          thtvdx          
grndtrck        ayx             anx             gndtrnmx        vmass           
xcg             fmasse          thrust          fmassr          dead_zone       
roll_count      pitch_count     yaw_count       stmarg_yaw      stmarg_pitch    
realp1          wnp             zetp            realy1          wny             
zety            gnmax           gymax           alphacx         betacx          
phibdcx         thtbdcx         psibdcx         RICI1           RICI2           
RICI3           ESBI1           ESBI2           ESBI3           UTBC1           
UTBC2           UTBC3           lamd            waclp           zaclp           
paclp           alcomx_actual   ancomx_actual   wacly           alcomx          
ancomx          wnact           delax           delex           delrx           
modes           ucbias_error    ucfreq_error    SXH1            SXH2            
SXH3            VXH1            VXH2            VXH3            CXH1            
CXH2            CXH3            std_pos         std_vel         std_ucbias      
URIC1           URIC2           URIC3           etax            zetx            
0               80.2709         -83.0044        0.000148229     0.000153302     
3.31552e-05     -5.07967        1.00288         -9.41363        0               
0               0               0               0               1               
0               0               0               0               0               
0               0               0               0               0               
3               0.14755         0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
4               0.233952        3765.23         -83.0239        80.1123         
-0.0039139      0               10.0263         0.548723        0.0971369       
-0.0152997      -0.299502       -0.176585       -120.49         34.68           
257.52          79.4828         376.818         -82.4885        79.5577         
22.0193         -0              0               0.0118895       46926.3         
10.2812         2057.69         1.40763e+06     29117.3         0.4             
18              46              31              -2.43021        -2.43021        
0.448516        0               0               0.448516        0               
0               0.0319735       0.0319735       0.55169         0.090065        
-0              80.1209         -83.0251        0.000147516     0.000153374     
3.32519e-05     -5.07963        0.997306        -9.416          0               
0               0               0               0               1               
0               0               0               0               0               
0               0               0               0               0               
3               0.14755         0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
4.5             0.264123        4775.3          -82.8565        80.025          
0.153358        0               4.04989         0.951333        0.0674301       
-0.0153014      -0.0283046      0.09302         -120.49         34.68           
299.071         89.6788         376.489         -82.5146        79.0689         
29.8764         -0              0               0.016132        46669.3         
10.2501         2314.74         1.40763e+06     28860.3         0.4             
18              48              33              -2.41451        -2.41451        
0.505188        0               0               0.505188        0               
0               0.0409416       0.0409416       0.954448        0.0591842       
0.134554        80.0337         -82.8573        0.000146906     0.000153385     
3.34595e-05     -5.07856        0.992233        -9.42098        0               
0               0               0               0               1               
0               0               0               0               0               
0               0               0               0               0               
3               0.14755         0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
5               0.29458         5907.22         -82.9788        80.011          
0.0252807       0               3.78043         1.33154         0.0880674       
-0.0153001      -0.0280414      0.0939068       -120.49         34.68           
345.583         99.956          376.435         -82.5338        78.6756         
39.0397         -0              0               0.0210797       46412.2         
10.219          2571.79         1.40763e+06     28603.2         0.4             
18              48              37              -2.39881        -2.39881        
0.561974        0               0               0.561974        0               
0               0.051137        0.051137        1.33481         0.0788287       
0               80.0197         -82.9796        0.000146357     0.00015332      
3.36472e-05     -5.07645        0.987665        -9.42857        0               
0               0               0               0               1               
0               0               0               0               0               
0               0               0               0               0               
3               0.14755         0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
5.5             0.325322        7160.31         -83.0716        79.9972         
-0.0736631      0               3.65582         1.63941         0.104831        
-0.0152992      -0.0277239      -0.180222       -120.491        34.6801         
397.093         110.313         376.668         -82.5424        78.3545         
49.5182         -0              0               0.0267377       46155.2         
10.1879         2828.84         1.40763e+06     28346.2         0.4             
18              48              39              -2.38307        -2.38307        
0.618815        0               0               0.618815        0               
0               0.0626295       0.0626295       1.64283         0.0947789       
-0.0660584      80.0058         -83.0723        0.000145811     0.000153254     
3.38437e-05     -5.0733         0.983605        -9.43881        0               
0               0               0               0               1               
0               0               0               0               0               
0               0               0               0               0               
3               0.14755         0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
6               0.356349        8533.35         -82.8546        79.9835         
0.132419        0               2.01726         1.893           0.0667218       
-0.0153014      -0.027332       -0.181984       -120.491        34.6801         
453.637         120.747         377.192         -82.5528        78.0877         
61.3206         -0              0               0.0331105       45898.1         
10.1568         3085.89         1.40763e+06     28089.1         0.4             
18              48              43              -2.36731        -2.36731        
0.675655        0               0               0.675655        0               
0               0.0754305       0.0754305       1.89658         0.0560378       
0.112555        79.9921         -82.8551        0.000145301     0.00015319      
3.41317e-05     -5.0691         0.980057        -9.45171        0               
0               0               0               0               1               
0               0               0               0               0               
0               0               0               0               0               
3               0.14755         0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
6.5             0.387664        10024.8         -82.931         79.9701         
0.0496676       0               2.14694         2.1049          0.0789554       
-0.0153006      -0.0268951      0.0956599       -120.491        34.6801         
515.251         131.257         378.014         -82.5644        77.8628         
74.4552         -0              0               0.0402026       45641.1         
10.1257         3342.94         1.40763e+06     27832.1         0.4             
18              48              45              -2.35154        -2.35154        
0.732445        0               0               0.732445        0               
0               0.0895582       0.0895582       2.10861         0.0676919       
0               79.9787         -82.9314        0.000144758     0.000153125     
3.43333e-05     -5.06386        0.977023        -9.46729        0               
0               0               0               0               1               
0               0               0               0               0               
0               0               0               0               0               
3               0.14755         0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
7               0.419271        11632.7         -83.0334        79.9585         
-0.0587045      0.556674        2.41798         2.28508         0.096538        
-0.0152996      0.00525508      0.0951351       -120.491        34.6801         
581.972         141.843         379.139         -82.5707        77.6713         
88.9305         -7.12659e-05    0.0016877       0.0480186       45384           
10.0947         3599.99         1.40763e+06     27575           0.4             
18              48              49              -2.30484        -2.30484        
0.790208        0               0               0.790208        0               
0               0.105035        0.105035        2.28892         0.0847707       
-0.0454724      79.9671         -83.0337        0.000144214     0.000153057     
3.45287e-05     -5.05756        0.974506        -9.48557        0               
0               0               0               0               1               
0               0               0               0               0               
0               0               0               0               0               
3               0.14755         0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
7.5             0.451174        13354.5         -82.9596        80.0057         
0.00635269      1.26435         1.92346         2.48989         0.0836511       
-0.0153003      0.044884        -0.19709        -120.491        34.6801         
653.835         152.504         380.589         -82.5743        77.5141         
104.75          -0.000148677    0.0044271       0.0565604       45127           
10.0636         3857.04         1.40763e+06     27318           0.4             
18              50              51              -2.24392        -2.24392        
0.848333        0               0               0.848333        0               
0               0.12188         0.12188         2.49385         0.0714748       
-0              80.0144         -82.9598        0.000143766     0.00015293      
3.4829e-05      -5.0502         0.972509        -9.50656        0               
0               0               0               0               1               
0               0               0               0               0               
0               0               0               0               0               
3               0.14755         0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
8               0.483375        15187.4         -82.8937        80.0478         
0.0637582       1.65572         1.52779         2.65893         0.0709384       
-0.015301       0.0465723       0.0668579       -120.491        34.6801         
730.881         163.237         382.374         -82.5825        77.3875         
121.908         -0.000176892    0.00663232      0.0658251       44869.9         
10.0325         4114.09         1.40763e+06     27060.9         0.4             
18              54              53              -2.19456        -2.19456        
0.905895        0               0               0.905895        0               
0               0.140107        0.140107        2.663           0.0584055       
0.0218246       80.0565         -82.8938        0.000143311     0.000152807     
3.51223e-05     -5.04178        0.971033        -9.53027        0               
0               0               0               0               1               
0               0               0               0               0               
0               0               0               0               0               
3               0.14755         0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
8.5             0.515879        17127.9         -83.0155        80.0779         
-0.0638064      1.92782         1.88669         2.79268         0.0920141       
-0.0152998      -0.0252548      0.0466293       -120.491        34.6802         
813.146         174.043         384.491         -82.5837        77.2841         
140.4           -0.000288478    0.00875745      0.0758101       44612.9         
