1 insat2: 1 missile vs 2 target with 2 passive satellites  ' Missile_c1 ' Mar  5 2016 14:33:23
  0  0 47
time            FSPV1           FSPV2           FSPV3           pdynmc          
mach            lonx            latx            alt             dvbe            
psivgx          thtvgx          SBEG1           SBEG2           SBEG3           
VBEG1           VBEG2           VBEG3           mprop           cg              
thrust          cl_ov_cd        psivgcx         thtvgcx         anx             
avx             alphax          phimvx          phicx           phix            
qq              tip             alp             ancomx          alcomx          
alx             altd            altcom          wp_grdrange     wp_flag         
range_go        STBG1           STBG2           STBG3           time_go         
psisbx          thtsbx          
0.0461156       2.75498         0.10647         1.05852         -0.0010629      
-0.00228092     -50.5729        7000            15417.1         0               
0               0               0               0               0               
0               0               
14              -0.769626       -0.0208142      -10.363         11169.1         
0.741261        14.7323         35.4            9378.64         224.043         
89.9328         -12.9134        5.04155         2913.19         621.36          
0.256123        218.376         50.0688         5               135.468         
281.353         9.34048         90              0               1.06077         
0               6.11479         -0.114967       -0.114182       -0.114967       
0.0331418       2.71755         0.106723        1.00703         -0.00105797     
-0.00212588     -50.0688        7000            15199.9         0               
0               0               0               0               0               
0               0               
15              -0.684137       -0.0206382      -9.8469         11381.8         
0.745485        14.7347         35.4            9328.77         225.483         
89.9378         -12.7516        5.28894         3132.34         671.235         
0.238555        219.921         49.7696         5               135.467         
279.679         9.63642         90              0               1.0077          
0               5.63192         -0.120614       -0.125419       -0.120614       
0.0285725       2.68103         0.0982955       0.976473        -0.001104       
-0.00210787     -49.7696        7000            14981           0               
0               0               0               0               0               
0               0               
16              -0.638432       -0.0217031      -9.55259        11603.4         
0.749898        14.7371         35.4            9278.93         226.98          
89.9428         -12.7109        5.51873         3353.02         721.066         
0.221149        221.418         49.943          5               135.466         
277.961         9.80761         90              0               0.977466        
0               5.33667         -0.130524       -0.133561       -0.130524       
0.0334659       2.64433         0.0931425       0.994184        -0.00114044     
-0.00221659     -49.943         7000            14760.7         0               
0               0               0               0               0               
0               0               
17              -0.660442       -0.0225322      -9.73099        11829.2         
0.754327        14.7396         35.4001         9228.87         228.482         
89.9474         -12.6801        5.7315          3575.18         771.13          
0.204473        222.91          50.1534         5               135.465         
276.231         9.79041         90              0               0.995798        
0               5.35203         -0.132585       -0.131763       -0.132585       
0.0370153       2.60806         0.0934106       1.01567         -0.00114617     
-0.00230124     -50.1534        7000            14538.8         0               
0               0               0               0               0               
0               0               
18              -0.686594       -0.0225674      -9.93879        12054.4         
0.758622        14.7421         35.4001         9178.71         229.945         
89.952          -12.5915        5.92771         3798.84         821.289         
0.187896        224.414         50.1278         5               135.464         
274.523         9.76272         90              0               1.01715         
0               5.37108         -0.129999       -0.129157       -0.129999       
0.0354313       2.57289         0.093743        1.01305         -0.00114757     
-0.0023048      -50.1278        7000            14315.5         0               
0               0               0               0               0               
0               0               
19              -0.679771       -0.0225239      -9.90944        12279.7         
0.762819        14.7445         35.4001         9128.65         231.381         
89.9567         -12.4819        6.10714         4024            871.354         
0.170915        225.912         50.0087         5               135.463         
272.662         9.82158         90              0               1.01414         
0               5.24018         -0.130357       -0.131528       -0.130357       
0.0329497       2.53875         0.0914583       1.00089         -0.00116517     
-0.00230032     -50.0087        7000            14090.7         0               
0               0               0               0               0               
0               0               
20              -0.66222        -0.0228868      -9.79084        12507.8         
0.767004        14.747          35.4001         9078.66         232.815         
89.9613         -12.3972        6.26947         4250.65         921.34          
0.153752        227.386         49.9824         5               135.462         
270.306         9.90456         90              0               1.00197         
0               5.06563         -0.134145       -0.136049       -0.134145       
0.0327409       2.50525         0.0884119       0.998201        -0.00119077     
-0.00233734     -49.9824        7000            13864.3         0               
0               0               0               0               0               
0               0               
21              -0.661368       -0.0234465      -9.77071        12739           
0.771182        14.7495         35.4001         9028.65         234.248         
89.9658         -12.3327        6.41471         4478.77         971.346         
0.136754        228.842         50.0326         5               135.461         
267.937         9.92153         90              0               0.999935        
0               4.95508         -0.137611       -0.138668       -0.137611       
0.0336161       2.47088         0.0864825       1.00334         -0.00121124     
-0.00239446     -50.0326        7000            13636.6         0               
0               0               0               0               0               
0               0               
22              -0.676901       -0.0238438      -9.82015        12971.2         
0.775288        14.7521         35.4001         8978.61         235.66          
89.9702         -12.2628        6.54305         4708.33         1021.39         
0.119937        230.283         50.0533         5               135.46          
265.57          9.84482         90              0               1.00511         
0               4.87859         -0.139176       -0.13971        -0.139176       
0.0335956       2.43383         0.0851474       1.00545         -0.00122665     
-0.002435       -50.0533        7000            13407.3         0               
0               0               0               0               0               
0               0               
23              -0.68848        -0.0241289      -9.83546        13203.7         
0.779302        14.7546         35.4001         8928.56         237.046         
89.9745         -12.1851        6.65458         4939.33         1071.44         
0.103129        231.706         50.0334         5               135.459         
263.211         9.77447         90              0               1.00678         
0               4.784           -0.140657       -0.141537       -0.140657       
0.0329918       2.3979          0.0834965       1.00341         -0.00124475     
-0.00246407     -50.0334        7000            13176.6         0               
0               0               0               0               0               
0               0               
24              -0.695914       -0.0244842      -9.81287        13436.8         
0.783238        14.7572         35.4001         8878.54         238.41          
89.9788         -12.11          6.7493          5171.74         1121.46         
0.0863247       233.105         50.0159         5               135.458         
260.856         9.70761         90              0               1.00455         
0               4.67243         -0.143099       -0.144366       -0.143099       
0.0326102       2.36298         0.0815493       1.00163         -0.00126682     
-0.00250032     -50.0159        7000            12944.6         0               
0               0               0               0               0               
0               0               
25              -0.704477       -0.0249299      -9.79419        13670.7         
0.787104        14.7598         35.4001         8828.52         239.755         
89.983          -12.0416        6.82727         5405.53         1171.48         
0.0696247       234.479         50.0182         5               135.457         
258.506         9.63445         90              0               1.00272         
0               4.56811         -0.145981       -0.147252       -0.145981       
0.032589        2.32899         0.0797285       1.00186         -0.00128979     
-0.0025458      -50.0182        7000            12711.1         0               
0               0               0               0               0               
0               0               
26              -0.715918       -0.0253902      -9.79523        13905.3         
0.790897        14.7624         35.4001         8778.5          241.078         
89.9871         -11.9762        6.88861         5640.69         1221.5          
0.053092        235.831         50.0248         5               135.456         
256.16          9.55445         90              0               1.00291         
