1 input19_3_3.asc: Ascent frome Cape, glidelsope and seeker intercept ' Hypersonic Vehicle ' Mar 14 2016 14:48:33
  0  0 96
time            vmach           pdynmc          psibd           psibdx          
thtbdx          phibdx          alppx           alphax          betax           
alphaix         betaix          ppx             qqx             rrx             
lonx            latx            alt             dvbe            dvbi            
psivdx          thtvdx          dbi             ayx             anx             
throttle        vmass           fmassr          thrustx         roll_count      
pitch_count     yaw_count       stmarg          gavail_pos      gmax            
gavail_neg      gminx           wnp             azabx           elabx           
dab             ddab            semi_major      semi_minor      eaz             
eel             edab            eddab           RICI1           RICI2           
RICI3           ESBI1           ESBI2           ESBI3           aycomx          
azcomx          tgoc            SBTHC1          SBTHC2          SBTHC3          
UTBC1           UTBC2           UTBC3           lamd            SBTL1           
SBTL2           SBTL3           delacx          delecx          delrcx          
alcomx          ancomx          phicomx         delax           delex           
delrx           miss            MISS_I1         MISS_I2         MISS_I3         
event           dbt             MISS_H1         MISS_H2         MISS_H3         
MISS_L1         MISS_L2         MISS_L3         SXH1            SXH2            
SXH3            std_pos         std_ucbias      URIC1           URIC2           
URIC3           
0               0               0.0448718       -20             -0.191778       
0               0               0.0979726       0.0262809       -19.9792        
-0.201228       0               0               0               0               
424002          5.46195e+06     0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
8               1.07317         58149.3         0.680896        39.0125         
-0.130968       0.0891718       3.05079         3.03877         -0.00145109     
1.66967         27.2691         0.0169996       1.20555         -0.00106663     
-75.5682        30.2011         2776.99         353.57          682.547         
39.0064         -3.15768        6.37556e+06     -0.000665617    1.75293         
1.14927         135009          80577.5         2687.91         0               
0               0               0.0165504       1.35743         3               
-3.64257        -2              2.97734         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0.00623834      -20             -0.0242453      
0               0               0.0978815       0.00334076      -19.9967        
-0.0262116      0               0               0               0               
424002          5.45543e+06     0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
9               1.07176         58112.5         0.680981        39.0173         
1.0772          0.0976745       3.0488          3.03763         0.00111246      
2.16834         27.2781         0.00314104      1.20412         0.00339681      
-75.5659        30.2035         2761.25         353.173         682.327         
39.0133         -1.94831        6.37555e+06     -3.90986e-05    1.75487         
1.15754         134922          80491.2         2719.04         0               
0               0               0.0165209       1.35548         3               
-3.64452        -2              2.9817          0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               -0.00162182     -20             0.00990115      
0               0               0.0976308       -0.000857073    -19.9993        
0.00951199      0               0               0               0               
424002          5.44891e+06     0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
10              1.07072         58061.2         0.681106        39.0245         
2.28369         0.0992035       3.04072         3.03326         0.0015951       
2.66882         27.284          0.000205434     1.20265         0.00420117      
-75.5636        30.206          2752.98         352.868         682.132         
39.0209         -0.737462       6.37554e+06     8.57231e-05     1.75252         
1.16975         134835          80404           2761.75         0               
0               0               0.0165036       1.35767         3               
-3.64233        -2              2.9843          0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               -0.00313947     -20             0.0164209       
0               0               0.0974261       -0.00155987     -19.9984        
0.0163544       0               0               0               0               
424002          5.44239e+06     0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
11              1.07017         58008.4         0.681237        39.032          
3.48916         0.0993626       3.03264         3.02925         0.00165184      
3.17034         27.287          -0.000420117    1.20207         0.00425658      
-75.5613        30.2085         2752.16         352.692         681.995         
39.0285         0.471999        6.37554e+06     9.9114e-05      1.74941         
1.18265         134747          80315.9         2805.47         0               
0               0               0.0164965       1.36063         3               
-3.63937        -2              2.98527         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               -0.003356       -20             0.0173049       
0               0               0.0972934       -0.00187727     -19.9985        
0.0173033       0               0               0               0               
424002          5.43587e+06     0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
12              1.07013         57955.5         0.681367        39.0395         
4.69441         0.0993018       3.02574         3.02647         0.00162156      
3.67283         27.2873         -0.000572942    1.20221         0.00415898      
-75.559         30.2109         2758.79         352.651         681.918         
39.0359         1.68002         6.37554e+06     0.000110235     1.7464          
1.19584         134658          80226.9         2848.95         0               
0               0               0.0164989       1.36353         3               
-3.63647        -2              2.98463         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               -0.00332449     -20             0.0170476       
0               0               0.0972358       -0.00185914     -19.9985        
0.0170595       0               0               0               0               
424002          5.42935e+06     0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
13              1.07058         57901.2         0.681482        39.046          
5.47161         0.0980419       2.57578         2.58162         0.00152695      
3.73956         27.2852         -0.000421427    0.125978        0.00402445      
-75.5567        30.2134         2773            352.742         681.9           
39.0432         2.89948         6.37556e+06     0.000114875     1.58016         
1.20058         134569          80137.6         2815.3          0               
0               0               0.0173231       1.51141         3               
