1 input19_3_3.asc: Ascent frome Cape, glidelsope and seeker intercept Mar 14 2016 14:48:31
  0  0 67
time            vmach_h1        lonx_h1         latx_h1         alt_h1          
dvbe_h1         dvbi_h1         psivdx_h1       thtvdx_h1       SBII1_h1        
SBII2_h1        SBII3_h1        VBII1_h1        VBII2_h1        VBII3_h1        
mseek_h1        dbi_t1          SBII1_t1        SBII2_t1        SBII3_t1        
VBII1_t1        VBII2_t1        VBII3_t1        lonx_t1         latx_t1         
alt_t1          dvbe_t1         psivgx_t1       thtvgx_t1       arg_latx_t1     
SBII1_r1        SBII2_r1        SBII3_r1        VBII1_r1        VBII2_r1        
VBII3_r1        dbi_r1          STCII11_r1      STCII12_r1      STCII13_r1      
VTCII11_r1      VTCII12_r1      VTCII13_r1      STCII21_r1      STCII22_r1      
STCII23_r1      VTCII21_r1      VTCII22_r1      VTCII23_r1      STCII31_r1      
STCII32_r1      STCII33_r1      VTCII31_r1      VTCII32_r1      VTCII33_r1      
STCII41_r1      STCII42_r1      STCII43_r1      VTCII41_r1      VTCII42_r1      
VTCII43_r1      STCII51_r1      STCII52_r1      STCII53_r1      VTCII51_r1      
VTCII52_r1      VTCII53_r1      
0               6.37099e+06     -2.08311e+06    -6.34774e+06    -288483         
4967.83         -1538.83        5935.5          0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               
80              1.16404         -75.3964        30.3838         4081.44         
377.459         704.432         39.4053         3.04899         1.42041e+06     
-5.32412e+06    3.20934e+06     585.921         290.85          261.395         
0               6.68362e+06     -2.03329e+06    -6.3627e+06     -229110         
4995.35         -1453.87        5938.99         -108.056        -1.97697        
305507          7583.5          38.4776         -2.5735         357.388         
4.62385e+06     -2.12338e+06    3.83416e+06     154.84          337.176         
0               6.37099e+06     -2.03329e+06    -6.3627e+06     -229110         
4995.35         -1453.87        5938.99         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               
90              1.17949         -75.3713        30.4102         4283.07         
381.51          708.149         39.4623         3.04216         1.42628e+06     
-5.3212e+06     3.21197e+06     587.882         293.635         263.911         
0               6.68025e+06     -1.9832e+06     -6.37682e+06    -169706         
5022.24         -1368.58        5941.67         -107.652        -1.46499        
302122          7587.49         38.4657         -2.54163        358.065         
4.62539e+06     -2.12001e+06    3.83416e+06     154.594         337.289         
0               6.37099e+06     -1.9832e+06     -6.37682e+06    -169706         
5022.24         -1368.58        5941.67         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               
100             1.19535         -75.346         30.4369         4486.4          
385.659         711.963         39.5201         3.03441         1.43217e+06     
-5.31825e+06    3.21462e+06     589.895         296.485         266.482         
0               6.67691e+06     -1.93285e+06    -6.39007e+06    -110279         
5048.49         -1282.98        5943.56         -107.247        -0.95241        
298778          7591.42         38.4582         -2.50941        358.742         
4.62694e+06     -2.11664e+06    3.83416e+06     154.348         337.402         
0               6.37099e+06     -1.93285e+06    -6.39007e+06    -110279         
5048.49         -1282.98        5943.56         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               
110             1.21164         -75.3203        30.4638         4691.4          
389.909         715.877         39.5786         3.02415         1.43808e+06     
-5.31527e+06    3.2173e+06      591.959         299.411         269.104         
0               6.67361e+06     -1.88223e+06    -6.40248e+06    -50837.2        
5074.11         -1197.08        5944.65         -106.842        -0.439252       
295475          7595.31         38.455          -2.47686        359.42          
4.62848e+06     -2.11326e+06    3.83416e+06     154.102         337.514         
0               6.37099e+06     -1.88223e+06    -6.40248e+06    -50837.2        
5074.11         -1197.08        5944.65         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               
120             1.22835         -75.2944        30.491          4897.77         
394.259         719.888         39.638          3.00988         1.44401e+06     
-5.31226e+06    3.22e+06        594.071         302.422         271.771         
0               6.67035e+06     -1.83137e+06    -6.41402e+06    8611.48         
5099.09         -1110.89        5944.94         -106.437        0.0744423       
292213          7599.15         38.4561         -2.44398        360.098         
4.63002e+06     -2.10989e+06    3.83416e+06     153.856         337.626         
0               6.37099e+06     -1.83137e+06    -6.41402e+06    8611.48         
5099.09         -1110.89        5944.94         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               
130             1.24549         -75.2681        30.5184         5105.45         
398.708         723.998         39.6982         2.99498         1.44996e+06     
-5.30922e+06    3.22273e+06     596.236         305.499         274.493         
0               6.66713e+06     -1.78025e+06    -6.42469e+06    68058.9         
5123.41         -1024.43        5944.42         -106.031        0.588635        
288994          7602.94         38.4617         -2.41076        360.778         
4.63156e+06     -2.10651e+06    3.83416e+06     153.609         337.739         
0               6.37099e+06     -1.78025e+06    -6.42469e+06    68058.9         
5123.41         -1024.43        5944.42         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               
140             1.26307         -75.2414        30.5462         5314.43         
403.259         728.209         39.7591         2.97946         1.45593e+06     
-5.30615e+06    3.22549e+06     598.454         308.644         277.271         
0               6.66395e+06     -1.7289e+06     -6.4345e+06     127497          
5147.08         -937.701        5943.09         -105.625        1.10329         
285817          7606.68         38.4716         -2.37722        361.457         
4.63309e+06     -2.10313e+06    3.83416e+06     153.363         337.851         
0               6.37099e+06     -1.7289e+06     -6.4345e+06     127497          
5147.08         -937.701        5943.09         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               
150             1.28111         -75.2144        30.5742         5524.69         
407.915         732.523         39.821          2.9633          1.46193e+06     
-5.30305e+06    3.22828e+06     600.728         311.858         280.107         
0               6.6608e+06      -1.67731e+06    -6.44345e+06    186918          
5170.08         -850.725        5940.96         -105.218        1.61836         
282684          7610.36         38.4859         -2.34337        362.138         
4.63463e+06     -2.09975e+06    3.83416e+06     153.117         337.962         
0               6.37099e+06     -1.67731e+06    -6.44345e+06    186918          
5170.08         -850.725        5940.96         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               
160             1.29961         -75.1871        30.6026         5736.21         
412.68          736.944         39.8836         2.94652         1.46795e+06     
-5.29991e+06    3.2311e+06      603.059         315.145         283.002         
0               6.6577e+06      -1.6255e+06     -6.45152e+06    246314          
